,field count,non empty count,data types
formVideos.workoutVideos.5.isLive,2,0,bool
formVideos.workoutVideos.5.liveBodyBroadcastTime,2,0,NoneType
formVideos.workoutVideos.5.location,2,2,str
formVideos.workoutVideos.5.locationShortName,2,2,str
formVideos.workoutVideos.5.maxRhythm,2,0,NoneType
formVideos.workoutVideos.5.mediaSources.0.audioTracks.0.duration,2,2,int
formVideos.workoutVideos.5.mediaSources.0.audioTracks.0.language,2,2,str
formVideos.workoutVideos.5.mediaSources.0.audioTracks.0.name,2,2,str
formVideos.workoutVideos.5.mediaSources.0.audioTracks.0.primary,2,2,bool
formVideos.workoutVideos.5.mediaSources.0.mimeType,2,2,str
formVideos.workoutVideos.5.mediaSources.0.providerName,2,2,str
formVideos.workoutVideos.5.mediaSources.0.textTracks.0.language,2,2,str
formVideos.workoutVideos.5.mediaSources.0.textTracks.0.name,2,2,str
formVideos.workoutVideos.5.mediaSources.0.textTracks.0.type,2,2,str
formVideos.workoutVideos.5.mediaSources.0.uri,2,2,str
formVideos.workoutVideos.5.mediaSources.1.audioTracks.0.duration,2,2,int
